ID,Z
24650,-10.956
24655,-4.062
24656,-3.755
24657,-5.598
24658,-4.724
24659,-16.94
24660,-18.382
24661,-19.108
24662,-17.981
24663,-18.536
24664,-17.222
24665,-7.56
24666,-14.202
24667,-15.764
24668,-5.218
24669,-14.664
24670,-16.318
24680,-4.745
24927,-12.445
24928,-12.848
24929,-11.486
24930,-10.452
24931,-10.028
24932,-10.683
24933,-11.716
24934,-8.495
24935,-10.166
24936,-8.393
24937,-7.93
24938,-9.605
24939,-6.239
24940,-8.572
24941,-6.653
24942,-7.787
24943,-8.359
24944,-7.096
24945,-7.828
24946,-10.232
24947,-5.072
24954,-5.549
24955,-5.303
24956,-6.875
24957,-8.077
24958,-7.113
24959,-6.617
24960,-6.38
24961,-5.967
24962,-6.184
24963,-5.693
24964,-5.097
24965,-8.511
24966,-7.584
24967,-9.872
24968,-7.139
24969,-10.506
24970,-9.468
24971,-10.707
24972,-10.558
24973,-8.469
24978,-19.196
24979,-19.582
24980,-4.611
24981,-4.381
24982,-3.676
24983,-3.778
24984,-4.808
24985,-18.763
24986,-17.698
24987,-18.204
24988,-18.442
24989,-18.821
24990,-16.515
24991,-17.187
24992,-3.812
24993,-12.634
24994,-3.461
24995,-14.95
25264,-12.034
25265,-12.063
25266,-10.247
25267,-11.212
25268,-10.921
25269,-9.142
25270,-10.948
25271,-11.922
25272,-6.301
25273,-6.733
25274,-5.417
25275,-5.158
25276,-6.586
25277,-6.025
25278,-9.25
25279,-9.439
25280,-7.056
25281,-10.995
25282,-5.073
25283,-11.796
25284,-3.577
25288,-11.992
25289,-5.313
25290,-5.061
25291,-6.249
25292,-6.183
25293,-6.005
25294,-5.614
25295,-5.458
25296,-5.357
25297,-6.291
25298,-6.509
25299,-6.324
25300,-6.314
25301,-6.102
25302,-5.626
25303,-5.35
25304,-6.853
25305,-5.591
25306,-4.727
25308,-19.653
25311,-4.524
25312,-4.237
25313,-4.828
25314,-4.153
25315,-3.684
25316,-12.768
25317,-12.148
25318,-17.23
25319,-17.779
25320,-18.777
25321,-8.819
25322,-16.541
25323,-12.994
25324,-15.157
25325,-15.701
25326,-2.654
25327,-2.706
25328,-3.639
25580,-11.049
25581,-10.563
25582,-11.76
25583,-11.39
25584,-10.265
25585,-10.172
25586,-9.97
25587,-9.23
25588,-5.049
25589,-7.503
25590,-3.904
25591,-6.201
25592,-3.806
25593,-9.062
25594,-6.732
25595,-6.366
25596,-10.169
25597,-3.635
25598,-10.528
25599,-2.248
25600,-3.751
25604,-9.723
25605,-5.089
25606,-6.024
25607,-5.717
25608,-5.694
25609,-5.58
25610,-5.376
25611,-4.688
