ID,Z
382,-1.972
389,-1.771
390,-3.023
429,-3.602
430,-2.115
453,-5.846
456,-5.157
458,-3.55
463,-2.738
479,-5.916
480,-6.165
481,-5.095
482,-6.816
483,-8.346
490,-2.802
491,-5.838
492,-6.967
504,-7.535
505,-6.98
506,-8.064
507,-8.872
508,-9.666
517,-2.832
518,-5.888
519,-7.392
520,-8.886
526,-8.826
527,-9.988
528,-10.022
529,-10.022
530,-9.96
531,-9.726
540,-3.991
541,-9.104
542,-9.014
543,-10.249
546,-11.041
547,-10.786
548,-10.39
549,-9.814
550,-9.551
551,-9.042
563,-5.688
564,-11.122
565,-10.962
566,-11.196
567,-10.888
568,-11.057
569,-10.428
570,-10.489
571,-9.066
572,-7.61
573,-8.972
574,-8.071
575,-8.564
576,-7.967
589,-7.334
590,-11.286
591,-3.975
593,-10.04
594,-8.836
595,-8.9
596,-8.468
597,-9.356
598,-8.29
599,-7.157
600,-6.338
601,-5.887
602,-6.054
603,-5.1
604,-4.102
605,-6.055
606,-5.977
619,-4.021
620,-8.928
621,-10.796
622,-9.794
623,-7.666
625,-9.948
626,-8.712
627,-7.407
630,-5.891
631,-3.755
632,-6.883
633,-3.491
634,-3.767
635,-1.736
636,-1.904
637,-1.469
638,-3.976
651,-3.189
652,-7.827
653,-11.412
654,-11.484
655,-7.833
656,-8.095
657,-7.648
658,-9.021
661,-2.859
662,-3.504
663,-0.134
664,-0.341
665,-4.763
666,-1.783
667,-1.848
668,-0.388
669,-0.41
670,-0.567
672,-0.616
674,-0.3
681,-6.124
682,-9.563
683,-12.326
684,-5.606
685,-5.79
686,-11.037
687,-6.483
688,-12.755
691,-0.764
692,-1.893
693,-0.428
696,0.042
697,-7.06
698,-9.091
699,-4.492
700,-12.549
701,-2.073
702,-1.377
703,-12.022
704,-6.522
706,-12.85
707,-4.753
708,-9.238
709,-13.087
710,-3.415
712,-5.072
713,-12.802
714,-6.821
715,-1.187
716,-8.659
717,-11.123
718,-12.577
719,-2.565
720,-5.128
721,-6.382
722,-9.868
723,-12.06
724,-7.621
725,-2.116
726,-11.841
727,-12.066
728,-12.302
729,-1.3
730,-4.698
731,-9.967
732,-10.086
733,-12.812
734,-12.639
735,-11.449
736,-12.138
737,-11.119
738,-6.768
739,-2.682
740,-3.003
741,-0.812
742,-4.157
743,-8.863
744,-9.982
745,-13.459
746,-12.713
747,-10.994
748,-12.727
749,-6.277
750,-7.87
751,-6.358
752,-4.082
753,-6.788
754,-4.559
755,-2.883
756,-5.627
757,-8.467
758,-6.154
759,-1.495
760,-5.585
761,-1.575
762,-8.677
763,-10.594
764,-7.123
765,-14.201
766,-11.413
767,-13.764
768,-9.568
769,-12.329
770,-2.562
771,-3.127
772,-1.696
773,-1.449
774,-2.97
775,-3.802
776,-1.852
777,-9.095
778,-3.691
779,-6.118
780,-11.529
781,-11.476
782,-9.839
783,-6.707
785,-0.997
786,-1.151
787,-5.999
788,-7.362
789,-4.26
790,-5.582
791,-9.631
792,-2.263
793,-3.289
794,-14.678
795,-13.629
796,-14.425
797,-1.916
798,-2.482
799,-2.385
800,-2.034
801,-5.656
802,-4.672
803,-9.799
804,-9.155
805,-14.047
806,-7.083
807,-5.327
808,-13.74
809,-13.252
810,-11.037
811,-12.677
812,-13.255
813,-12.962
814,-10.729
815,-12.744
816,-1.551
817,-5.159
818,-7.686
819,-5.236
820,-3.686
821,-8.783
822,-14.129
823,-1.466
824,-4.615
825,-2.763
826,-14.827
827,-5.192
828,-9.425
830,-13.07
831,-11.962
832,-10.183
833,-10.577
834,-14.486
835,-14.336
836,-10.711
837,-13.255
838,-12.372
839,-11.405
840,-7.682
841,-13.856
842,-13.823
843,-14.152
844,-12.267
845,-3.98
846,-7.413
847,-6.017
848,-7.675
849,-4.11
850,-8.391
851,-2.046
852,-12.565
853,-3.073
854,-3.282
855,-5.98
856,-5.607
857,-4.653
858,-12.224
859,-12.845
860,-12.087
861,-12.238
862,-12.11
863,-10.344
864,-9.971
865,-7.661
866,-9.792
867,-9.13
868,-10.02
869,-14.36
870,-10.424
871,-4.726
872,-14.529
873,-5.418
874,-4.268
875,-5.251
877,-10.658
878,-6.368
879,-6.628
880,-7.763
881,-3.489
882,-4.953
883,-10.06
884,-9.937
885,-7.396
886,-6.912
887,-4.929
888,-4.362
889,-4.045
890,-5.232
891,-3.958
892,-8.525
893,-2.705
894,-12.003
895,-8.789
896,-8.991
897,-7.477
898,-7.453
899,-6.777
900,-6.98
901,-5.582
902,-7.515
903,-3.321
904,-9.497
905,-8.014
906,-7.138
907,-7.493
908,-6.714
909,-8.819
910,-5.606
911,-5.381
912,-7.657
913,-5.923
915,-6.567
916,-7.853
917,-7.21
918,-5.173
919,-9.29
920,-6.345
921,-4.037
922,-9.02
923,-3.195
924,-5.894
925,-4.423
926,-8.286
927,-7.185
928,-3.046
929,-3.945
930,-6.018
931,-5.18
932,-3.326
933,-3.879
934,-4.431
935,-3.371
936,-3.668
937,-3.249
939,-2.682
940,-3.548
941,-3.984
942,-2.336
944,-2.178
946,-1.824
947,-2.796
948,-2.893
949,-1.616
952,-0.676
