ID,Z
2631,-15.916
2632,-16.084
2634,-14.991
2635,-12.562
2638,-13.564
2783,-16.0
2785,-13.292
2786,-15.754
2787,-13.787
2788,-13.626
2791,-13.631
2792,-14.517
2793,-14.853
2946,-16.016
2947,-16.327
2948,-15.911
2949,-14.89
2950,-15.74
2951,-15.828
2952,-15.169
2953,-14.704
2954,-15.068
2957,-14.562
2958,-13.481
3120,-15.336
3124,-15.472
3125,-15.985
3126,-13.564
3127,-13.972
3128,-16.656
3129,-16.745
3194,-14.634
3195,-14.52
3302,-16.54
3303,-16.437
3367,-14.817
3368,-16.548
3369,-16.248
3545,-14.852
3546,-14.337
3547,-15.824
3729,-14.884
3730,-14.859
3731,-16.081
3732,-16.421
3898,-14.597
3899,-13.903
3900,-14.288
3907,-14.25
3908,-14.264
3909,-14.682
3910,-13.886
3911,-14.214
3912,-14.675
3913,-16.496
3914,-16.574
4088,-16.52
4089,-16.626
4090,-16.763
4092,-13.817
4097,-16.803
4098,-16.557
4099,-16.525
4100,-16.442
4101,-16.217
4102,-16.276
4287,-14.016
4288,-16.389
4293,-14.124
4489,-16.367
4495,-14.171
4496,-16.329
4696,-14.43
4697,-16.475
4905,-14.786
4906,-14.795
4907,-14.755
4908,-16.469
5076,-14.812
5077,-15.179
5078,-15.199
5079,-15.171
5080,-15.086
5082,-14.917
5083,-15.13
5084,-14.593
5134,-16.451
5135,-16.492
5136,-16.518
5298,-16.475
5299,-16.415
5300,-16.524
5301,-16.221
5302,-16.217
5303,-14.614
5304,-16.319
5305,-16.284
5306,-16.215
5307,-14.658
5314,-15.256
5537,-15.927
5541,-15.841
5547,-15.637
5548,-15.808
5782,-15.315
5783,-15.29
5784,-16.09
6004,-15.621
6005,-15.414
6006,-15.69
6007,-16.178
6008,-16.112
6222,-14.785
6223,-16.026
6224,-16.09
6225,-16.252
6233,-14.594
6446,-16.269
6455,-14.597
6456,-16.422
6686,-14.386
6687,-13.783
6688,-16.272
6920,-13.977
6921,-14.718
6922,-16.067
6923,-16.204
6928,-13.732
6929,-13.667
7161,-16.521
7162,-16.641
7166,-14.07
7167,-14.932
7168,-16.414
7169,-16.428
7427,-15.609
7428,-16.598
7429,-16.813
7689,-15.61
7690,-16.87
7719,-15.503
7720,-14.802
7966,-16.283
7994,-15.195
7997,-16.184
7998,-16.321
