Z
-3.0
-3.5
-4.0
-4.5
-5.0
-6.0
-7.0
-8.0
-9.0
-10.0
-11.0
-12.0
-13.0
-14.0
-15.0
-16.0
-17.0
-18.0
-19.0
-20.0
-21.0
-22.0
-23.0
-25.0
-30.0
-40.0
-50.0
-75.0
-100.0
-150.0
-200.0
-500.0
-1000.0
-1500.0
-2000.0
-5000.0


