Z
-2.4
-3.0
-3.6
-4.2
-4.8
-5.4
-6.0
-6.6
-7.2
-7.8
-8.4
-9.0
-9.6
-10.2
-10.95
-11.7
-12.45
-13.2
-13.95
-14.7
-15.45
-16.2
-16.95
-17.7
-18.45
-19.2
-19.95
-20.7
-21.7
-23.1
-24.9
-27.4
-30.8
-35.3
-41.4
-49.7
-60.9
-75.0
-125.0
-175.0
