X,Y,Label
115.677564,-32.145176,Parmelia_Bank
115.693333,-32.145335,North_CS
115.721621,-32.144542,Fathom_Bank
115.746661,-32.1573,Eastern_Shoal1
115.744918,-32.170612,Eastern_Shoal2
115.757913,-32.176159,Eastern_Shoal3
115.760449,-32.200407,Eastern_Shoal4
115.714648,-32.155398,Central_Basin1
115.691193,-32.166967,Central_Basin2
115.686756,-32.175842,Central_Basin3
115.715441,-32.184876,Central_Basin4
115.740715,-32.192303,Central_Basin5
115.716233,-32.200407,Central_Basin6
115.685847,-32.201233,Garden island shore
115.706249,-32.217047,Central_Basin7
115.720354,-32.231152,Central_Basin8
115.736677,-32.234797,Central_Basin9
115.738103,-32.248585,Central_Basin10
115.753,-32.249377,Kwinanan Beach
115.852619,-32.008581,Canning_River
115.846201,-31.963652,Narrows_bridge
115.811256,-32.010245,SwanRiverEstuary
115.738355,-32.053431,SwanRiver_Fremantle
